rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,time_delta_previous_rental_groups,early_or_late_groups
3021,519493,389219,mobile,ended,19.0,515851.0,120.0,time delta > 45 min,late <= 45 min
3024,520878,289720,connect,ended,-42.0,540741.0,120.0,time delta > 45 min,early less than 45 min
3027,521403,316678,connect,ended,-31.0,558030.0,60.0,time delta > 45 min,early less than 45 min
3052,530724,397728,mobile,ended,5.0,572331.0,270.0,time delta > 45 min,late <= 45 min
3095,521969,354493,mobile,ended,-54.0,518353.0,210.0,time delta > 45 min,early more than 45 min
3120,531952,338940,mobile,ended,320.0,542671.0,0.0,time delta btw 0 and 45 min,late btw 4 and 6 hours
3136,533904,228703,connect,ended,-21.0,519407.0,330.0,time delta > 45 min,early less than 45 min
3144,535690,313432,mobile,ended,84.0,539109.0,60.0,time delta > 45 min,late btw 45 min and 2 hour
3147,535914,265239,connect,ended,44.0,538830.0,120.0,time delta > 45 min,late <= 45 min
3158,536610,328866,mobile,ended,-58.0,549011.0,0.0,time delta btw 0 and 45 min,early more than 45 min
3171,537518,350149,mobile,ended,267.0,538529.0,60.0,time delta > 45 min,late btw 4 and 6 hours
3178,552949,352528,connect,ended,-119.0,546489.0,270.0,time delta > 45 min,early more than 45 min
3186,553294,394380,mobile,ended,-113.0,540105.0,720.0,time delta > 45 min,early more than 45 min
3197,554062,394024,mobile,ended,-48.0,562173.0,0.0,time delta btw 0 and 45 min,early more than 45 min
3203,554280,401475,connect,ended,39.0,553682.0,450.0,time delta > 45 min,late <= 45 min
3232,542971,314456,connect,ended,-26.0,533380.0,690.0,time delta > 45 min,early less than 45 min
3242,543277,265239,connect,ended,-63.0,535914.0,360.0,time delta > 45 min,early more than 45 min
3243,543283,314897,mobile,ended,-56.0,540735.0,720.0,time delta > 45 min,early more than 45 min
3248,543582,347660,connect,ended,-712.0,539424.0,420.0,time delta > 45 min,early more than 45 min
3266,544819,401470,mobile,ended,39.0,543823.0,570.0,time delta > 45 min,late <= 45 min
3272,545022,363918,mobile,ended,489.0,545032.0,60.0,time delta > 45 min,late btw 6h and 1 day
3280,554942,382444,mobile,ended,-11.0,563834.0,240.0,time delta > 45 min,early less than 45 min
3289,555503,346305,mobile,ended,-17.0,537219.0,180.0,time delta > 45 min,early less than 45 min
3305,556401,339138,connect,ended,62.0,565263.0,0.0,time delta btw 0 and 45 min,late btw 45 min and 2 hour
3314,557023,302561,connect,ended,-25.0,558162.0,60.0,time delta > 45 min,early less than 45 min
3335,558403,380407,mobile,ended,4.0,547147.0,0.0,time delta btw 0 and 45 min,late <= 45 min
3352,559450,366199,connect,ended,-24.0,547522.0,120.0,time delta > 45 min,early less than 45 min
3364,559963,331900,mobile,ended,66.0,559063.0,30.0,time delta btw 0 and 45 min,late btw 45 min and 2 hour
3373,560479,384567,connect,ended,32.0,559510.0,90.0,time delta > 45 min,late <= 45 min
3374,560548,351024,mobile,ended,6.0,508535.0,90.0,time delta > 45 min,late <= 45 min
3386,561744,413333,mobile,ended,-3.0,564275.0,600.0,time delta > 45 min,early less than 45 min
3396,569053,393982,mobile,ended,129.0,563562.0,630.0,time delta > 45 min,late btw 2 and 3 hours
3399,569211,348551,mobile,ended,115.0,558223.0,330.0,time delta > 45 min,late btw 45 min and 2 hour
