rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,time_delta_previous_rental_groups,late_groups
208,562264,408060,mobile,ended,129.0,,,time delta > 2 hours,late btw 2 and 3 hours
209,562501,242546,mobile,ended,15.0,,,time delta > 2 hours,late <= 1 hour
210,562669,393442,mobile,ended,30.0,,,time delta > 2 hours,late <= 1 hour
211,563108,339515,mobile,ended,33.0,,,time delta > 2 hours,late <= 1 hour
212,563552,241021,connect,ended,25.0,567278.0,60.0,time delta btw 0 and 2 hours,late <= 1 hour
213,563933,347208,connect,ended,27.0,,,time delta > 2 hours,late <= 1 hour
214,564045,381123,mobile,ended,99.0,554558.0,660.0,time delta > 2 hours,late btw 1 and 2 hours
215,564094,179429,mobile,ended,4.0,,,time delta > 2 hours,late <= 1 hour
216,564208,361262,mobile,ended,90.0,,,time delta > 2 hours,late btw 1 and 2 hours
217,564414,195888,mobile,ended,20.0,564484.0,180.0,time delta > 2 hours,late <= 1 hour
218,564466,407869,mobile,ended,10.0,,,time delta > 2 hours,late <= 1 hour
219,564500,382884,mobile,ended,69.0,555024.0,420.0,time delta > 2 hours,late btw 1 and 2 hours
220,564538,332366,mobile,ended,335.0,,,time delta > 2 hours,late btw 4 and 6 hours
221,564706,384747,mobile,ended,403.0,,,time delta > 2 hours,late btw 6h and 1 day
222,564785,399718,mobile,ended,1.0,,,time delta > 2 hours,late <= 1 hour
223,564955,389994,mobile,ended,136.0,,,time delta > 2 hours,late btw 2 and 3 hours
224,564992,366410,mobile,ended,62.0,,,time delta > 2 hours,late btw 1 and 2 hours
225,565340,415170,mobile,ended,41.0,,,time delta > 2 hours,late <= 1 hour
226,565494,368210,mobile,ended,45.0,,,time delta > 2 hours,late <= 1 hour
227,565512,376391,mobile,ended,436.0,,,time delta > 2 hours,late btw 6h and 1 day
228,505859,268874,mobile,ended,42.0,,,time delta > 2 hours,late <= 1 hour
229,507103,393584,mobile,ended,15.0,,,time delta > 2 hours,late <= 1 hour
230,507112,221297,mobile,ended,7.0,,,time delta > 2 hours,late <= 1 hour
231,509566,372647,mobile,ended,181.0,,,time delta > 2 hours,late btw 3 and 4 hours
232,509688,339975,mobile,ended,14.0,,,time delta > 2 hours,late <= 1 hour
233,511872,386539,mobile,ended,7.0,,,time delta > 2 hours,late <= 1 hour
234,516585,389785,connect,ended,162.0,,,time delta > 2 hours,late btw 2 and 3 hours
235,519260,359719,mobile,ended,946.0,,,time delta > 2 hours,late btw 6h and 1 day
236,520147,392147,mobile,ended,1.0,536236.0,390.0,time delta > 2 hours,late <= 1 hour
237,522476,376514,mobile,ended,300.0,,,time delta > 2 hours,late btw 4 and 6 hours
238,525175,280805,connect,ended,9.0,,,time delta > 2 hours,late <= 1 hour
239,525776,285846,mobile,ended,22.0,,,time delta > 2 hours,late <= 1 hour
240,527465,381512,mobile,ended,28.0,,,time delta > 2 hours,late <= 1 hour
241,527709,393442,mobile,ended,106.0,,,time delta > 2 hours,late btw 1 and 2 hours
242,528782,370513,mobile,ended,3.0,,,time delta > 2 hours,late <= 1 hour
243,529239,354515,mobile,ended,10.0,565896.0,360.0,time delta > 2 hours,late <= 1 hour
244,530357,262206,mobile,ended,14.0,,,time delta > 2 hours,late <= 1 hour
245,530971,241568,mobile,ended,3371.0,,,time delta > 2 hours,late btw 2 and 3 days
246,532171,368448,mobile,ended,9.0,,,time delta > 2 hours,late <= 1 hour
247,532248,332611,mobile,ended,1110.0,,,time delta > 2 hours,late btw 6h and 1 day
248,533326,301632,mobile,ended,38.0,,,time delta > 2 hours,late <= 1 hour
249,533720,385295,mobile,ended,6.0,,,time delta > 2 hours,late <= 1 hour
250,565543,364882,connect,ended,82.0,,,time delta > 2 hours,late btw 1 and 2 hours
251,565675,318715,mobile,ended,107.0,,,time delta > 2 hours,late btw 1 and 2 hours
252,565927,173376,mobile,ended,49.0,,,time delta > 2 hours,late <= 1 hour
253,566027,414498,mobile,ended,32.0,,,time delta > 2 hours,late <= 1 hour
254,566123,404483,mobile,ended,142.0,,,time delta > 2 hours,late btw 2 and 3 hours
255,566273,375908,mobile,ended,44.0,,,time delta > 2 hours,late <= 1 hour
256,566292,414708,mobile,ended,48.0,,,time delta > 2 hours,late <= 1 hour
257,566385,211860,connect,ended,58.0,,,time delta > 2 hours,late <= 1 hour
258,566551,334671,mobile,ended,25.0,,,time delta > 2 hours,late <= 1 hour
259,566682,293785,mobile,ended,66.0,,,time delta > 2 hours,late btw 1 and 2 hours
260,566691,374921,mobile,ended,243.0,,,time delta > 2 hours,late btw 4 and 6 hours
261,566762,407907,mobile,ended,16.0,,,time delta > 2 hours,late <= 1 hour
262,566797,386498,mobile,ended,349.0,,,time delta > 2 hours,late btw 4 and 6 hours
263,566921,298388,mobile,ended,28.0,,,time delta > 2 hours,late <= 1 hour
264,567120,415953,mobile,ended,27.0,567178.0,150.0,time delta > 2 hours,late <= 1 hour
265,567208,268798,mobile,ended,41.0,,,time delta > 2 hours,late <= 1 hour
266,567424,414349,mobile,ended,59.0,,,time delta > 2 hours,late <= 1 hour
267,567433,401968,mobile,ended,100.0,,,time delta > 2 hours,late btw 1 and 2 hours
268,567610,399205,mobile,ended,22.0,,,time delta > 2 hours,late <= 1 hour
269,567636,376840,connect,ended,101.0,564959.0,0.0,time delta btw 0 and 2 hours,late btw 1 and 2 hours
270,567773,314572,mobile,ended,21.0,,,time delta > 2 hours,late <= 1 hour
271,567774,396250,mobile,ended,4265.0,,,time delta > 2 hours,late btw 2 and 3 days
272,567777,296295,mobile,ended,30.0,,,time delta > 2 hours,late <= 1 hour
273,568168,345738,mobile,ended,58.0,,,time delta > 2 hours,late <= 1 hour
274,568817,314605,mobile,ended,43.0,565775.0,360.0,time delta > 2 hours,late <= 1 hour
275,569133,415843,mobile,ended,90.0,,,time delta > 2 hours,late btw 1 and 2 hours
276,569176,410396,mobile,ended,67.0,,,time delta > 2 hours,late btw 1 and 2 hours
277,570186,372609,mobile,ended,76.0,,,time delta > 2 hours,late btw 1 and 2 hours
278,570525,304566,mobile,ended,14.0,,,time delta > 2 hours,late <= 1 hour
279,505457,368083,mobile,ended,21.0,,,time delta > 2 hours,late <= 1 hour
280,506876,367382,mobile,ended,12.0,,,time delta > 2 hours,late <= 1 hour
281,508843,398697,mobile,ended,1101.0,,,time delta > 2 hours,late btw 6h and 1 day
282,511960,216796,mobile,ended,28.0,,,time delta > 2 hours,late <= 1 hour
283,513466,331681,mobile,ended,110.0,,,time delta > 2 hours,late btw 1 and 2 hours
284,514418,364237,mobile,ended,1360.0,,,time delta > 2 hours,late btw 6h and 1 day
285,515482,277553,mobile,ended,42.0,,,time delta > 2 hours,late <= 1 hour
286,519413,397599,mobile,ended,89.0,,,time delta > 2 hours,late btw 1 and 2 hours
287,521364,257207,mobile,ended,694.0,,,time delta > 2 hours,late btw 6h and 1 day
288,522507,390927,connect,ended,183.0,523328.0,510.0,time delta > 2 hours,late btw 3 and 4 hours
289,522667,214635,connect,ended,119.0,,,time delta > 2 hours,late btw 1 and 2 hours
290,525092,310644,mobile,ended,22.0,,,time delta > 2 hours,late <= 1 hour
291,526071,404493,mobile,ended,42.0,,,time delta > 2 hours,late <= 1 hour
292,526232,377364,mobile,ended,6.0,,,time delta > 2 hours,late <= 1 hour
293,526847,371520,mobile,ended,9.0,,,time delta > 2 hours,late <= 1 hour
294,529128,382700,mobile,ended,6.0,506728.0,0.0,time delta btw 0 and 2 hours,late <= 1 hour
295,529465,248159,mobile,ended,1490.0,,,time delta > 2 hours,late btw 1 and 2 days
296,529768,339442,mobile,ended,16.0,,,time delta > 2 hours,late <= 1 hour
297,529809,285241,mobile,ended,7.0,,,time delta > 2 hours,late <= 1 hour
298,530261,280805,connect,ended,28.0,,,time delta > 2 hours,late <= 1 hour
299,530274,204019,mobile,ended,14.0,,,time delta > 2 hours,late <= 1 hour
300,531697,388490,mobile,ended,248.0,,,time delta > 2 hours,late btw 4 and 6 hours
301,532787,226544,connect,ended,203.0,,,time delta > 2 hours,late btw 3 and 4 hours
302,572456,352663,mobile,ended,33.0,,,time delta > 2 hours,late <= 1 hour
303,572757,385861,mobile,ended,33.0,,,time delta > 2 hours,late <= 1 hour
304,572844,342154,connect,ended,26.0,,,time delta > 2 hours,late <= 1 hour
305,573034,227100,mobile,ended,4.0,569554.0,120.0,time delta btw 0 and 2 hours,late <= 1 hour
306,573315,398586,connect,ended,26.0,,,time delta > 2 hours,late <= 1 hour
307,574568,301512,mobile,ended,110.0,572909.0,0.0,time delta btw 0 and 2 hours,late btw 1 and 2 hours
308,505377,290726,connect,ended,62.0,,,time delta > 2 hours,late btw 1 and 2 hours
309,506069,192409,mobile,ended,159.0,,,time delta > 2 hours,late btw 2 and 3 hours
310,507918,366079,mobile,ended,98.0,,,time delta > 2 hours,late btw 1 and 2 hours
311,514502,370437,mobile,ended,379.0,,,time delta > 2 hours,late btw 6h and 1 day
312,515357,376237,mobile,ended,69.0,,,time delta > 2 hours,late btw 1 and 2 hours
313,505546,261879,mobile,ended,610.0,,,time delta > 2 hours,late btw 6h and 1 day
314,506242,388411,mobile,ended,3.0,,,time delta > 2 hours,late <= 1 hour
315,508535,351024,mobile,ended,102.0,,,time delta > 2 hours,late btw 1 and 2 hours
316,510674,173341,mobile,ended,28.0,,,time delta > 2 hours,late <= 1 hour
317,514474,376574,mobile,ended,81.0,,,time delta > 2 hours,late btw 1 and 2 hours
318,514571,330176,mobile,ended,3.0,,,time delta > 2 hours,late <= 1 hour
