rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,time_delta_previous_rental_groups,early_groups
215,570153,159536,mobile,ended,-685.0,,,time delta > 2 hours,early more than 2 hours
216,570350,365926,connect,ended,-55.0,570337.0,60.0,time delta btw 0 and 2 hours,early less than 2 hours
217,570406,293992,mobile,ended,-81.0,,,time delta > 2 hours,early less than 2 hours
218,570819,353425,connect,ended,-17.0,573393.0,120.0,time delta btw 0 and 2 hours,early less than 2 hours
219,571139,347208,connect,ended,-90.0,,,time delta > 2 hours,early less than 2 hours
220,508971,232442,mobile,ended,-9.0,,,time delta > 2 hours,early less than 2 hours
221,510583,380867,mobile,ended,-1.0,,,time delta > 2 hours,early less than 2 hours
222,511106,377746,mobile,ended,-15.0,,,time delta > 2 hours,early less than 2 hours
223,512695,361217,mobile,ended,-26.0,,,time delta > 2 hours,early less than 2 hours
224,512958,305669,mobile,ended,-24.0,,,time delta > 2 hours,early less than 2 hours
225,516780,274943,mobile,ended,-238.0,,,time delta > 2 hours,early more than 2 hours
226,520615,265239,connect,ended,-22.0,,,time delta > 2 hours,early less than 2 hours
227,524517,351304,mobile,ended,-70.0,,,time delta > 2 hours,early less than 2 hours
228,526089,369713,connect,ended,-73.0,,,time delta > 2 hours,early less than 2 hours
229,526147,298455,mobile,ended,-65.0,,,time delta > 2 hours,early less than 2 hours
230,526562,403863,mobile,ended,-746.0,,,time delta > 2 hours,early more than 2 hours
231,527537,404496,mobile,ended,-5.0,,,time delta > 2 hours,early less than 2 hours
232,527950,348901,mobile,ended,-191.0,,,time delta > 2 hours,early more than 2 hours
233,527981,358978,connect,ended,-60.0,541898.0,210.0,time delta > 2 hours,early less than 2 hours
234,529233,399528,connect,ended,-53.0,529252.0,480.0,time delta > 2 hours,early less than 2 hours
235,529252,399528,connect,ended,-104.0,,,time delta > 2 hours,early less than 2 hours
236,530372,407199,mobile,ended,-10.0,,,time delta > 2 hours,early less than 2 hours
237,531442,398877,mobile,ended,-1.0,,,time delta > 2 hours,early less than 2 hours
