rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,time_delta_previous_rental_groups
243,550224,358567,connect,ended,-7.0,,,time delta > 2 hours
244,550246,408578,mobile,ended,-15.0,,,time delta > 2 hours
245,550248,382901,mobile,ended,-127.0,545782.0,60.0,time delta btw 0 and 2 hours
246,550459,295815,mobile,ended,82.0,,,time delta > 2 hours
247,550537,239798,connect,ended,37.0,,,time delta > 2 hours
248,550660,399967,mobile,ended,0.0,,,time delta > 2 hours
249,550808,346652,connect,ended,-41.0,,,time delta > 2 hours
250,550929,310681,connect,ended,-25.0,,,time delta > 2 hours
251,551031,409711,mobile,ended,-1283.0,,,time delta > 2 hours
252,551040,383343,mobile,ended,40.0,,,time delta > 2 hours
253,551069,359880,connect,ended,-22.0,549192.0,180.0,time delta > 2 hours
254,551108,291723,mobile,ended,211.0,,,time delta > 2 hours
255,551128,382939,mobile,ended,97.0,,,time delta > 2 hours
256,551137,295783,connect,ended,16.0,,,time delta > 2 hours
257,551179,304570,mobile,ended,536.0,,,time delta > 2 hours
258,551227,341710,mobile,ended,159.0,,,time delta > 2 hours
259,551317,283001,mobile,ended,-7.0,,,time delta > 2 hours
260,551364,406062,connect,ended,34.0,,,time delta > 2 hours
261,551429,277888,mobile,ended,203.0,,,time delta > 2 hours
262,551679,381233,mobile,ended,275.0,,,time delta > 2 hours
263,551795,382793,mobile,ended,-193.0,,,time delta > 2 hours
264,551907,171249,mobile,ended,11.0,,,time delta > 2 hours
265,552204,348625,mobile,ended,91.0,,,time delta > 2 hours
266,552209,412676,mobile,ended,23.0,,,time delta > 2 hours
267,552233,245154,connect,ended,4.0,,,time delta > 2 hours
268,552265,408202,mobile,ended,-28.0,,,time delta > 2 hours
269,552330,384657,connect,ended,23.0,554800.0,0.0,time delta btw 0 and 2 hours
270,552342,376619,mobile,ended,-965.0,547312.0,0.0,time delta btw 0 and 2 hours
271,552389,307335,mobile,ended,6.0,,,time delta > 2 hours
272,552425,385625,connect,ended,-102.0,550476.0,30.0,time delta btw 0 and 2 hours
273,552448,364662,mobile,ended,-232.0,,,time delta > 2 hours
274,552524,173061,connect,ended,-22.0,,,time delta > 2 hours
275,552655,406081,mobile,ended,322.0,,,time delta > 2 hours
276,552677,323777,mobile,ended,31.0,,,time delta > 2 hours
277,552700,348673,mobile,ended,63.0,,,time delta > 2 hours
278,552716,294883,mobile,ended,10.0,,,time delta > 2 hours
279,552850,315136,connect,ended,40.0,,,time delta > 2 hours
280,552964,384385,mobile,ended,20.0,,,time delta > 2 hours
281,553153,276924,mobile,ended,5.0,,,time delta > 2 hours
282,553354,401166,mobile,ended,7.0,,,time delta > 2 hours
283,553356,381684,mobile,ended,-1.0,,,time delta > 2 hours
284,553367,385783,mobile,ended,24.0,519328.0,150.0,time delta > 2 hours
285,553511,363658,mobile,ended,170.0,,,time delta > 2 hours
286,553532,355444,connect,ended,-20.0,,,time delta > 2 hours
287,553660,412936,mobile,ended,-3.0,,,time delta > 2 hours
288,553726,347847,mobile,ended,-36.0,,,time delta > 2 hours
289,553730,390976,connect,ended,-29.0,,,time delta > 2 hours
290,553755,393972,mobile,ended,1.0,,,time delta > 2 hours
291,553795,402528,connect,ended,11.0,,,time delta > 2 hours
292,553984,410694,mobile,ended,-148.0,,,time delta > 2 hours
293,554025,293785,mobile,ended,37.0,,,time delta > 2 hours
294,554508,241021,connect,ended,-37.0,,,time delta > 2 hours
295,554572,380002,mobile,ended,358.0,,,time delta > 2 hours
296,554581,406629,mobile,ended,-5.0,,,time delta > 2 hours
297,554695,402993,mobile,ended,17.0,560722.0,720.0,time delta > 2 hours
298,555081,311353,mobile,ended,-72.0,,,time delta > 2 hours
299,555083,328013,mobile,ended,161.0,,,time delta > 2 hours
300,555131,324889,mobile,ended,146.0,,,time delta > 2 hours
301,555458,351168,mobile,ended,-919.0,,,time delta > 2 hours
302,555600,391519,connect,ended,-95.0,,,time delta > 2 hours
303,555794,327585,mobile,ended,19.0,,,time delta > 2 hours
304,555813,360548,mobile,ended,-26.0,,,time delta > 2 hours
305,555992,375774,mobile,ended,58.0,,,time delta > 2 hours
306,556072,320670,mobile,ended,21.0,,,time delta > 2 hours
307,556079,374298,connect,ended,-1019.0,,,time delta > 2 hours
308,556143,407632,mobile,ended,181.0,,,time delta > 2 hours
309,556483,413896,mobile,ended,14.0,,,time delta > 2 hours
310,556488,296213,mobile,ended,8.0,,,time delta > 2 hours
311,556580,397878,mobile,ended,77.0,,,time delta > 2 hours
312,556608,368275,mobile,ended,-12.0,,,time delta > 2 hours
313,556648,332548,mobile,ended,-581.0,,,time delta > 2 hours
314,556696,234356,mobile,ended,59.0,,,time delta > 2 hours
315,556755,395962,mobile,ended,98.0,,,time delta > 2 hours
316,556986,402773,mobile,ended,23.0,,,time delta > 2 hours
317,556999,406205,mobile,ended,14.0,,,time delta > 2 hours
318,557296,387427,mobile,ended,7.0,,,time delta > 2 hours
319,557314,383126,mobile,ended,-16.0,,,time delta > 2 hours
320,557504,327732,mobile,ended,55.0,,,time delta > 2 hours
321,557512,412816,mobile,ended,101.0,,,time delta > 2 hours
322,557514,405433,mobile,ended,47.0,,,time delta > 2 hours
323,557535,401623,mobile,ended,21.0,,,time delta > 2 hours
324,557572,383139,mobile,ended,-85.0,,,time delta > 2 hours
325,557674,375915,mobile,ended,15.0,550183.0,480.0,time delta > 2 hours
326,557681,410151,mobile,ended,122.0,,,time delta > 2 hours
327,557685,272724,mobile,ended,996.0,,,time delta > 2 hours
328,557833,351547,mobile,ended,67.0,,,time delta > 2 hours
329,557913,351021,mobile,ended,-4.0,,,time delta > 2 hours
330,558047,396746,mobile,ended,-25.0,,,time delta > 2 hours
331,558088,245154,connect,ended,-40.0,566170.0,180.0,time delta > 2 hours
332,558250,375126,connect,ended,-4.0,549813.0,600.0,time delta > 2 hours
333,558424,318867,mobile,ended,173.0,,,time delta > 2 hours
334,558525,297962,connect,ended,-256.0,555341.0,30.0,time delta btw 0 and 2 hours
335,558557,410258,mobile,ended,20.0,,,time delta > 2 hours
336,558561,326755,mobile,ended,72.0,,,time delta > 2 hours
337,558583,326578,mobile,ended,3.0,,,time delta > 2 hours
338,558709,316772,mobile,ended,102.0,,,time delta > 2 hours
339,558759,368753,connect,ended,-126.0,,,time delta > 2 hours
340,558974,321069,mobile,ended,-5.0,,,time delta > 2 hours
341,559078,340616,connect,ended,27.0,,,time delta > 2 hours
342,559318,344677,mobile,ended,2.0,,,time delta > 2 hours
343,559331,369354,mobile,ended,89.0,,,time delta > 2 hours
344,559428,289720,connect,ended,-16.0,520878.0,90.0,time delta btw 0 and 2 hours
345,559435,281955,mobile,ended,18.0,553797.0,60.0,time delta btw 0 and 2 hours
346,559781,408776,mobile,ended,44.0,540868.0,0.0,time delta btw 0 and 2 hours
347,559817,394117,mobile,ended,21.0,,,time delta > 2 hours
348,559924,376064,mobile,ended,-3.0,,,time delta > 2 hours
349,560005,301068,mobile,ended,-78.0,,,time delta > 2 hours
350,560079,288452,mobile,ended,52.0,,,time delta > 2 hours
351,560720,404020,mobile,ended,-14.0,,,time delta > 2 hours
352,560884,410068,mobile,ended,-41.0,,,time delta > 2 hours
353,560886,375755,mobile,ended,84.0,,,time delta > 2 hours
354,561054,387845,mobile,ended,-18.0,,,time delta > 2 hours
355,561083,334859,mobile,ended,65.0,,,time delta > 2 hours
356,561111,337217,mobile,ended,10.0,,,time delta > 2 hours
357,561157,373726,mobile,ended,-14.0,,,time delta > 2 hours
358,561269,389467,mobile,ended,-21.0,,,time delta > 2 hours
359,561285,392479,mobile,ended,-40.0,,,time delta > 2 hours
360,561366,305917,mobile,ended,-104.0,,,time delta > 2 hours
361,561368,249274,connect,ended,-3.0,558711.0,30.0,time delta btw 0 and 2 hours
362,561383,411754,connect,ended,173.0,,,time delta > 2 hours
363,561408,310444,connect,ended,-54.0,545475.0,360.0,time delta > 2 hours
364,561450,192179,connect,ended,7.0,541144.0,540.0,time delta > 2 hours
365,561596,364996,mobile,ended,108.0,,,time delta > 2 hours
366,561706,395613,mobile,ended,-38.0,,,time delta > 2 hours
367,561726,409636,mobile,ended,-208.0,,,time delta > 2 hours
368,562090,404542,mobile,ended,-35.0,,,time delta > 2 hours
369,562173,394024,mobile,ended,73.0,,,time delta > 2 hours
370,562174,381499,connect,ended,73.0,,,time delta > 2 hours
371,562264,408060,mobile,ended,129.0,,,time delta > 2 hours
372,562291,404133,connect,ended,-709.0,,,time delta > 2 hours
373,562409,410088,mobile,ended,-30.0,,,time delta > 2 hours
374,562501,242546,mobile,ended,15.0,,,time delta > 2 hours
375,562669,393442,mobile,ended,30.0,,,time delta > 2 hours
376,562807,310571,mobile,ended,-14.0,,,time delta > 2 hours
377,563003,310828,mobile,ended,-444.0,,,time delta > 2 hours
378,563108,339515,mobile,ended,33.0,,,time delta > 2 hours
379,563157,371572,connect,ended,-83.0,,,time delta > 2 hours
380,563509,349894,connect,ended,-432.0,,,time delta > 2 hours
381,563519,225602,mobile,ended,-16.0,,,time delta > 2 hours
382,563552,241021,connect,ended,25.0,567278.0,60.0,time delta btw 0 and 2 hours
383,563933,347208,connect,ended,27.0,,,time delta > 2 hours
384,563998,409663,mobile,ended,-47.0,,,time delta > 2 hours
385,564045,381123,mobile,ended,99.0,554558.0,660.0,time delta > 2 hours
386,564094,179429,mobile,ended,4.0,,,time delta > 2 hours
387,564208,361262,mobile,ended,90.0,,,time delta > 2 hours
388,564414,195888,mobile,ended,20.0,564484.0,180.0,time delta > 2 hours
389,564466,407869,mobile,ended,10.0,,,time delta > 2 hours
390,564500,382884,mobile,ended,69.0,555024.0,420.0,time delta > 2 hours
391,564538,332366,mobile,ended,335.0,,,time delta > 2 hours
392,564642,340833,mobile,ended,-20.0,,,time delta > 2 hours
393,564706,384747,mobile,ended,403.0,,,time delta > 2 hours
394,564785,399718,mobile,ended,1.0,,,time delta > 2 hours
395,564844,297962,connect,ended,-167.0,,,time delta > 2 hours
396,564955,389994,mobile,ended,136.0,,,time delta > 2 hours
397,564992,366410,mobile,ended,62.0,,,time delta > 2 hours
